scanner_cluster,n_sessions,DBI_mean,DBI_std,DBI_min,DBI_max
GE MEDICAL SYSTEMS | SIGNA Artist | 1.5T,3,0.8129018178301894,0.003045834322449164,0.8101246681008586,0.8161592656855816
GE MEDICAL SYSTEMS | SIGNA Premier | 3T,47,0.81981296807055,0.013506304230689046,0.7836417246199854,0.860576923076923
SIEMENS | Skyra | 3T,18,0.7951084352661068,0.004905474634261734,0.7868942307692308,0.8048915384615385
Siemens Healthineers | MAGNETOM Vida Fit | 3T,13,0.7996584966799326,0.00406752768916406,0.7906489151873769,0.8058988644688645
